index,system time,time stamp,channel,Rx/Tx,ID,Frame,type,DLC,CAN-FD,data
72299,="15:44:22.475",0xAD8B06C,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D B0 12 20 00 
72300,="15:44:22.475",0xAD8B134,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 10 A4 60 00 
72301,="15:44:22.475",0xAD8B1FC,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 00 12 00 00 00 
72302,="15:44:22.475",0xAD8B328,1,Rx,0x310,Standard Frame,data frame,8,CAN,x| 01 3D 00 00 00 00 08 00 
72303,="15:44:22.477",0xAD8B3F0,1,Rx,0x318,Standard Frame,data frame,8,CAN,x| 01 41 FF 00 00 00 10 80 
72304,="15:44:22.477",0xAD8B7D8,1,Rx,0x13F,Standard Frame,data frame,8,CAN,x| 00 12 C0 00 00 00 00 00 
72305,="15:44:22.486",0xAD8D970,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D B0 12 21 00 
72306,="15:44:22.486",0xAD8DA38,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 11 A4 60 01 
72307,="15:44:22.486",0xAD8DB00,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 01 12 00 00 00 
72308,="15:44:22.496",0xAD8FE8C,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D B0 0D 22 00 
72309,="15:44:22.496",0xAD8FF54,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 11 A4 62 02 
72310,="15:44:22.496",0xAD9001C,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 02 0D 00 00 00 
72311,="15:44:22.496",0xAD903A0,1,Rx,0x13F,Standard Frame,data frame,8,CAN,x| 00 12 C0 00 00 00 00 00 
72312,="15:44:22.506",0xAD927F4,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D B0 12 23 00 
72313,="15:44:22.506",0xAD928BC,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 11 A4 63 03 
72314,="15:44:22.506",0xAD929E8,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 03 12 00 00 00 
72315,="15:44:22.516",0xAD94CAC,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D B0 12 20 00 
72316,="15:44:22.516",0xAD94D10,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 0C A4 61 00 
72317,="15:44:22.516",0xAD94E3C,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 00 12 00 00 00 
72318,="15:44:22.516",0xAD95288,1,Rx,0x13F,Standard Frame,data frame,8,CAN,x| 00 12 C0 00 00 00 00 00 
72319,="15:44:22.526",0xAD97358,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D B0 12 21 00 
72320,="15:44:22.526",0xAD97420,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 0C A4 62 01 
72321,="15:44:22.526",0xAD9754C,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 01 12 00 00 00 
